success,cte,max_cte,smoothness,tortuosity,velocity,collision,steps,energy
True,0.04440340070583486,0.08024650216898142,0.11697562713528153,0.9810082730892092,0.1186309339976997,False,402,1.3342707
True,0.051129467356304234,0.0839745461800687,0.11515066569789927,0.9721056508412942,0.09633913424337887,False,470,1.371449
True,0.046690738532384916,0.08342003363415439,0.11367812743151214,0.9736541395224775,0.10823113726339442,False,467,1.3662589
True,0.0431465014620037,0.0828909071469248,0.11247896334521706,0.9731918864805372,0.11325988412939562,False,413,1.1372601
True,0.04329293270193564,0.08127097725902668,0.11510029402606696,0.9780306381927818,0.12301125874484604,False,412,1.3789152
True,0.053967558550546704,0.08390403685550676,0.11465025555707328,0.9667077833227892,0.08426137510078519,False,439,1.1825727
True,0.04288203123567389,0.08128923739346733,0.11413920603185818,0.9773473477543355,0.12312285964853295,False,397,1.2835407
True,0.054904397707354134,0.08419748171767123,0.11418018360704059,0.9674957263636088,0.08665712010942227,False,478,1.2653328
True,0.013265965660847603,0.034644552672332955,0.1142819422212514,0.959021569808601,0.1671535093004682,False,77,0.29632336
True,0.045734320931482324,0.08238906451048658,0.11636152280939704,0.9757444705966748,0.11504645664363737,False,431,1.4370395
True,0.04876004739311752,0.08378197520316912,0.11344410620115382,0.9716141034487749,0.09838395678034856,False,449,1.1711866
True,0.04873012675923425,0.08325761878114799,0.11536142052720286,0.9727176225010811,0.10374449547572015,False,437,1.343322
True,0.04217863638873607,0.07863110044987304,0.11648061860066194,0.9843359836979951,0.1293460377345372,False,455,1.5663239
True,0.04823959751686762,0.08358711293843707,0.11416062285545571,0.9730164479733892,0.10544579616255541,False,464,1.3573028
True,0.04570439478742825,0.0837431025155488,0.11288279209293624,0.972565980606874,0.10580052794062474,False,487,1.3057268
True,0.04763506685955367,0.08369304267490421,0.11375141958599766,0.971110410533832,0.10164934033211682,False,438,1.1535912
True,0.013194926049940279,0.03388800860859125,0.11037974811803836,0.9699190114006666,0.16157532578262573,False,104,0.33548465
True,0.04489307086821089,0.0835229534552937,0.11250597500361487,0.9744098683206864,0.11118015774745149,False,461,1.2775377
True,0.06536053400252366,0.08399719595506537,0.11462894919690678,0.9687091511015705,0.06509574115382556,False,491,1.1435245
True,0.04137858380243833,0.08129032007093409,0.11306639839574774,0.9750405770034533,0.12383664174075223,False,378,1.16687
True,0.042639170825950416,0.07984923434236017,0.11646494275379565,0.9782666782224378,0.12320976980688972,False,372,1.2776753
